epoch,train_loss,val_loss,train_accuracy,val_accuracy,best_value,learning_rate
1,4.572596149,2.41774603,68.60%,79.75%,89.10%,0.001
2,3.091542694,1.960497455,73.72%,82.93%,89.10%,0.001
3,2.629633761,1.637425866,75.20%,83.35%,89.10%,0.001
4,2.359835357,1.432239022,75.71%,84.83%,89.10%,0.001
5,1.983583442,1.212265844,76.67%,85.10%,89.10%,0.001
6,1.704952793,0.969248275,76.98%,85.73%,89.10%,0.001
7,1.382618708,0.762835988,76.86%,86.13%,89.10%,0.001
8,1.097986325,0.610129457,77.35%,85.90%,89.10%,0.001
9,0.930517727,0.545322302,77.67%,86.13%,89.10%,0.001
10,0.796229706,0.503038236,78.28%,87.25%,89.10%,0.001
11,0.714032007,0.462160705,79.85%,87.58%,89.10%,0.001
12,0.657484522,0.460481812,80.48%,87.80%,89.10%,0.001
13,0.613887275,0.454664107,81.24%,88.58%,89.10%,0.001
14,0.574259835,0.447753787,81.88%,87.75%,89.10%,0.001
15,0.53341945,0.419512756,83.33%,88.20%,89.10%,0.001
16,0.50648974,0.421623339,84.35%,88.45%,89.10%,0.001
17,0.500977666,0.401760338,84.25%,88.33%,89.10%,0.001
18,0.468205205,0.407312002,85.52%,87.98%,89.10%,0.001
19,0.455044195,0.422171069,85.98%,88.40%,89.10%,0.001
20,0.441835367,0.40226084,86.70%,88.28%,89.10%,0.001
21,0.435065715,0.403056487,86.97%,88.60%,89.10%,0.001
22,0.426694661,0.397351391,87.37%,88.75%,89.10%,0.001
23,0.419295934,0.391433071,87.73%,88.85%,89.10%,0.001
24,0.408881264,0.395130101,88.24%,88.75%,89.10%,0.001
25,0.400868562,0.40068634,88.58%,88.45%,89.10%,0.001
26,0.394586129,0.387116518,89.11%,89.03%,89.10%,0.001
27,0.386485564,0.389720679,89.53%,88.93%,89.10%,0.001
28,0.38428953,0.386595921,89.32%,88.90%,89.10%,0.001
29,0.379568835,0.392312759,89.72%,88.98%,89.10%,0.001
30,0.37333062,0.385995642,90.26%,88.88%,89.10%,0.001
31,0.367505255,0.383627432,90.23%,88.83%,89.10%,0.001
32,0.372319669,0.390551537,90.26%,88.95%,89.10%,0.001
33,0.367145018,0.394357226,90.44%,88.15%,89.10%,0.001
34,0.360598431,0.390210055,90.94%,89.05%,89.10%,0.001
35,0.363563851,0.382109948,90.87%,89.05%,89.10%,0.001
36,0.354698947,0.384243217,90.99%,88.83%,89.10%,0.001
37,0.352273695,0.392758607,91.22%,88.78%,89.10%,0.001
38,0.34670993,0.384577508,91.64%,88.90%,89.10%,0.001
39,0.34965443,0.392034733,91.82%,88.53%,89.10%,0.001
40,0.341281152,0.390566818,92.05%,88.38%,89.10%,0.001
41,0.339175325,0.388470897,92.01%,88.83%,89.10%,0.0005
42,0.337004449,0.383233146,92.40%,89.03%,89.10%,0.0005
43,0.332413686,0.390114637,92.43%,88.93%,89.10%,0.0005
44,0.33376689,0.385618576,92.69%,89.05%,89.10%,0.0005
45,0.329601528,0.392100363,92.80%,88.75%,89.10%,0.0005
46,0.331265879,0.3911381,92.65%,88.78%,89.10%,0.0005
47,0.328003339,0.387906533,92.89%,88.95%,89.10%,0.00025
48,0.326375488,0.38511656,93.11%,89.10%,89.10%,0.00025
49,0.32759243,0.385825596,92.71%,89.08%,89.10%,0.00025
50,0.327537277,0.39271304,92.82%,88.73%,89.10%,0.00025
51,0.324867935,0.388845354,92.99%,88.75%,89.10%,0.00025
52,0.324164239,0.387735919,93.09%,88.85%,89.10%,0.00025
53,0.326036582,0.387382925,93.00%,88.65%,89.10%,0.000125
54,0.320924844,0.389218394,93.26%,89.05%,89.10%,0.000125
55,0.32213942,0.390687427,93.10%,88.63%,89.10%,0.000125
56,0.324467052,0.388097669,92.98%,88.93%,89.10%,0.000125
57,0.322140889,0.390203649,93.07%,88.88%,89.10%,0.000125
58,0.321333974,0.38800217,93.27%,88.65%,89.10%,0.000125
59,0.323899646,0.393161778,93.06%,88.75%,89.10%,6.25E-05
60,0.322695461,0.390873922,93.24%,88.90%,89.10%,6.25E-05
61,0.322710936,0.389368004,93.36%,88.83%,89.10%,6.25E-05
62,0.319660476,0.389079473,93.34%,88.58%,89.10%,6.25E-05
63,0.320547178,0.390542526,93.39%,88.68%,89.10%,6.25E-05
64,0.3210883,0.39065013,93.35%,88.68%,89.10%,6.25E-05
65,0.321351766,0.389823114,93.44%,88.35%,89.10%,3.13E-05
66,0.319929385,0.39305636,93.39%,88.70%,89.10%,3.13E-05
67,0.323378019,0.389486556,93.08%,88.78%,89.10%,3.13E-05
68,0.318087322,0.390103981,93.42%,88.58%,89.10%,3.13E-05
